company_name,job_title,job_description,salary_min,salary_max
Catsone,Software Engineer IV,"Tasks: * Design test cases; * Develop and verify test cases; * Develop scripts in Python; * Develop test completion criteria; * Execute regression and system tests; * Manage test documentation; * Perform exploratory testing; * Perform system and software testing; * Perform system testing; * Perform UI automation; * Track and manage defects; * Verify end-to-end requirements; * Verify requirements through testing
Skills: [Agile][C++][CI/CD][Confluence][Development Lifecycle][GitLab][Java][Jira][Linux][Python][Regression testing][Selenium][Software development][Software Development Lifecycle][System Testing][Test automation][Testlink][UI Automation][Virtual Machines][Windows]",N/A,N/A
Catsone,Software Engineer III,"Tasks: * Design UI automation tests; * Develop and execute test cases; * Develop test completion criteria; * Execute regression and system testing; * Perform exploratory testing; * Track and manage defects; * Verify end-to-end requirements; * Verify requirements using automation tools
Skills: [Agile methodology][Automation frameworks][C++][CI/CD][Development Lifecycle][GitLab][Java][Linux][Python][Regression testing][Selenium][Software development][Software Development Lifecycle][System Testing][Test automation][Test Automation Frameworks][Testlink][UI Automation][Virtual Machines][Windows]",N/A,N/A
Doorloop,AI Engineer,"Tasks: * Apply LLMs to real-world problems; * Build and maintain LLM-powered agents and tools; * Collaborate with product team for delivery; * Design and deploy autonomous AI agents; * Implement AI modules using Typescript; * Implement RAG-based solutions; * Integrate AI systems into backend infrastructure via APIs; * Refine models using A/B testing and feedback; * Stay updated with LLM advancements; * Validate responses and measure KPIs
Skills: [API Integration][Architectural Design][Autonomous Agents][Azure][Backend Data Integration][CI/CD][Cloud Platforms][Cloud Platforms (AWS][Data integration][Debugging][Faiss][GCP][Langchain][Langgraph][LLMs][Memory Modules][MLOps][NLP workflows][Pinecone][Problem Solving][Prompt engineering][Python][RESTful APIs][Tokenization][Tools and workflows][TypeScript][Vector Databases][Weaviate]",N/A,N/A
Malakoffhumanis,Alternance – Data analyst F/H,"Tasks: * Analyze team needs; * Assist users with tools; * Create visualizations; * Develop tools; * Model data in Power BI; * Prepare reports; * Respond to user inquiries
Skills: [Agile methodology][Data Analysis][Data Modeling][Data Visualization][ETL][Power Apps][Power Automate][Power BI][Power Platform][Python][SharePoint][SQL]
Perks: + Internal mobility; + Training opportunities",N/A,N/A
Doorloop,Associate AI Engineer,"Tasks: * Apply LLMs to real-world user problems; * Assist with Typescript-based AI modules; * Build and maintain LLM-powered agents and tools; * Collaborate with product team for delivery; * Design, build, and deploy autonomous AI agents; * Implement RAG solutions to enhance AI responses; * Integrate AI systems into backend infrastructure via APIs; * Refine models through A/B testing and feedback; * Stay updated with LLM advancements; * Validate responses to ensure KPI accuracy
Skills: [AI Development][AI experimentation][AI/ML][AI Pipelines][AI tools][API Integration][AWS][Azure][Best practices][Cloud services][Debugging][Development Best Practices][GCP][Langchain][Langgraph][LLMs][NLP workflows][Prompt engineering][Python][Software development][Software Development Best Practices][TypeScript][Version control]",N/A,N/A
Comeet,"Enterprise Account Executive, IL","Tasks: * Articulate AI solutions' value to enterprise clients; * Collaborate with product and technical teams; * Develop and close new business opportunities; * Drive account expansion and upsell; * Manage full sales cycle including prospecting, discovery, demos, negotiations; * Meet and exceed sales quotas; * Stay informed on AI industry trends
Skills: [AI domain knowledge][B2B Sales][Contract Negotiation][Deep-tech][Deep tech sales][Domain Knowledge][Enterprise relationship building][Generative AI][Market Insights][Product Demonstration][Prospecting][Relationship building][Sales Cycle][Sales Cycle Management][Technical Communication][Tech sales]",N/A,N/A
Gouv,Chef de projet MOE H/F,"Tasks: * Coordinate internal developers and external vendors; * Ensure interface web development; * Manage project scope and timelines; * Manage risks and deliverables; * Participate in application maintenance and administration; * Pilot project portfolio; * Plan and coordinate tasks; * Prepare project documentation; * Report project progress; * Study and estimate projects
Skills: [Agile methodologies][Ansible][Application development][Change Management][Communication skills][Database Management][DevOps Tools][Docker][Elasticsearch][GitLab][Interface Design][IT project planning][Java][Jenkins][Linux Servers][Logstash][MariaDB][Process Modeling][Project Management][Project Planning][Python][Risk Management][SQL][Stakeholder Coordination][Team leadership][Web Interface][Web Interface Design]
Perks: + Habilitation Très Secret; + Telework possible",N/A,N/A
Comeet,Website Content Manager,"Tasks: * Collaborate with design marketing and development teams; * Create and edit web pages; * Define content requirements; * Ensure visual and functional consistency; * Implement editorial strategies; * Maintain and update website content; * Monitor content updates
Skills: [Content editing][Content Management][Content Strategy][Content Tools][Cross-Functional Collaboration][CSS][HTML][Visual content tools][Web Content][Web content editing]
Perks: + English clubs; + Health insurance; + Paid leave; + Remote work option; + Sick leave; + Team building events; + Technical equipment",54000,59000
N/A,Backend Engineer Golang  (f|m|d) (100%) - Sophia-Antipolis - Hybrid or Remote working model,"Tasks: * Collaborate with cross-functional teams; * Deploy and monitor services on AWS and Kubernetes; * Design and implement backend services; * Maintain and optimize Go applications; * Participate in scrum team activities; * Work with databases like PostgreSQL and Elasticsearch; * Write and review tests for code quality
Skills: [AWS][Backend Development][Code review][Docker][Elasticsearch][GitHub][Go Programming][Kubernetes][Monitoring][PostgreSQL][Redis][Service orchestration][Testify][Web Services]
Perks: + Career growth opportunities; + Extra time off (12 days + holidays); + Global team collaboration; + Office perks (fruit, coffee, gear); + Remote or hybrid work options; + Swiss office visits; + Training and conference budgets",198000,236000
Atera,Web Designer,"Tasks: * Apply SEO best practices and semantic HTML; * Build responsive layouts for desktop and mobile; * Collaborate cross-functionally to meet KPIs; * Create motion, micro-interactions, and visual patterns; * Deliver pixel-perfect Figma files and QA; * Design user-friendly SaaS web experiences; * Manage multiple projects and adapt to feedback; * Research SaaS design best practices; * Use data to refine visuals and copy
Skills: [A/B][A/B Testing][Adobe Suite][AI design][AI design tools][CSS][Data Analysis][Design Tools][Figma][Heatmaps][HTML][JavaScript][Motion Design][Responsive Design][Semantic HTML][SEO][UI Principles][UX/UI][UX/UI principles]
Perks: + Autonomy; + Creative environment; + Innovation focus; + Supportive team",N/A,N/A
Solaredge,IT Infrastructure Director,"Tasks: * Collaborate with application, security, and operations teams; * Develop and execute IT infrastructure strategy; * Ensure cybersecurity measures are integrated; * Lead and mentor infrastructure teams; * Lead infrastructure modernization including cloud migration and virtualization; * Manage enterprise network, data centers, and cloud environments; * Manage vendor relationships and SLAs; * Monitor and improve infrastructure performance; * Oversee disaster recovery and business continuity planning; * Stay updated with emerging technologies and recommend innovations
Skills: [Automation][Azure][Cloud Platforms][Cloud Platforms (AWS][Cybersecurity][Data center][Data Center Management][Disaster Recovery][GCP][Network Architecture][Performance Monitoring][Project Management][Team leadership][Vendor management][Virtualization]",N/A,N/A
Oraclecloud,Site Reliability Developer 4,"Tasks: * Automate routine operational tasks; * Collaborate with stakeholders to restore network functionality; * Contribute to network solution and architecture design; * Coordinate with vendors and internal teams on firmware and system updates; * Create dashboards and alerts for network monitoring; * Design and deploy network monitoring and automation software; * Develop and execute network change procedures; * Develop network solutions and architecture designs; * Lead root cause analysis after network events; * Mentor junior engineers; * Participate in on-call rotations; * Respond to network disruptions and troubleshoot issues; * Support large-scale cloud network infrastructure; * Support network fabric and system development in cloud environment
Skills: [Automation tools][BGP][Cloud infrastructure][Data center][Data Center Design][DHCP][DNS][EVPN][IPv6][MPLS][NETCONF][Network Automation][Networking protocols][Network Modeling][Network Monitoring][Openconfig][Prometheus][Python][Scripting][SSL][Telemetry solutions][VXLAN][YANG]
Perks: + Flexible medical; + Inclusive workforce; + Life insurance; + Retirement options; + Volunteer programs",N/A,N/A
Overwolf,Technical Product Manager,"Tasks: * Align projects with business priorities; * Break down complex problems into manageable tasks; * Collaborate with stakeholders to set product vision and roadmap; * Conduct customer and market research; * Define and discover new opportunities; * Define and track KPIs; * Develop actionable strategies based on business KPIs; * Drive cross-disciplinary collaboration; * Ensure product delivers excellent user experience; * Gather and analyze customer feedback; * Launch and manage B2B SaaS products; * Manage projects from start to finish; * Translate product requirements into technical specifications; * Use data analytics to guide product decisions
Skills: [B2B SaaS][Creative Thinking][Cross-disciplinary leadership][Data Analysis][Data-driven][Data-Driven Decision Making][Decision Making][English communication][Experience Design][KPI Tracking][Problem Solving][Product Management][Project Management][Software development][Stakeholder collaboration][Technical Specifications][User Experience][User Experience Design]",N/A,N/A
N/A,Senior Data Scientist,"Tasks: * Analyze large datasets using data analytics and statistical modeling; * Collaborate with cross-functional teams to develop data-driven solutions; * Communicate insights to technical and non-technical stakeholders; * Create predictive models for machine reliability and anomaly detection; * Develop deep learning and computer vision algorithms for real-time food sorting; * Experiment with AI innovations to enhance product value; * Implement MLOps practices for model deployment and maintenance; * Manage full deep learning model lifecycle from data capture to deployment; * Oversee data labeling and ensure data quality; * Travel to R&D and customer sites for model validation; * Utilize and optimize real-time data processing and visualization tools
Skills: [AWS][Azure Blob][AzureML][Computer Vision][Data analytics][Databricks][Data Visualization][Deep learning][Edge inference][Git][GPU benchmarking][Labeling tools][LakeFS][MLflow][MLOps][Model Deployment][Python][PyTorch][SQL][Statistical modeling][TensorFlow][TensorRT]
Perks: + 25 days annual leave; + Career development; + Health insurance; + Inclusive culture; + International environment; + Long service days; + Pension scheme; + Social events; + Technology experimentation; + Training and development",N/A,N/A
Join,"Mitarbeiter:in Data Science & Customer Support Freiburg im Breisgau oder Aachen, Deutschland","Tasks: * Apply energy modeling methods; * Conduct presentations training and workshops with clients; * Handle customer inquiries on software use; * Perform plausibility checks and quality assurance; * Process and analyze geo-data for energy planning
Skills: [Customer communication][Data Analysis][Data Processing][Energy Modeling][Problem Solving][Python][Quality Assurance][Teamwork][Workshop facilitation]
Perks: + Career development opportunities; + Competitive salary; + Flexible working hours; + Health benefits; + Home office options; + Modern office in Freiburg; + Team events",50000,80000
N/A,Product Owner DATA,"Tasks: * Act as main liaison between business stakeholders and technical teams; * Collaborate with cross-functional teams including data engineers and analysts; * Define and communicate data product vision and strategy; * Ensure timely delivery of high-quality data products and features; * Maintain data-related documentation; * Manage and prioritize data product backlog; * Monitor product performance and support data-driven decision making; * Translate business requirements into user stories and acceptance criteria
Skills: [Agile methodologies][Analytical Skills][Big Data][Big data platforms][Communication][Confluence][Data Management][Data platforms][Data Technologies][Jira][Power BI][SAFe][SQL][Stakeholder management][UI Design][UX/UI][UX/UI Design]",N/A,N/A
N/A,"Software Engineer with PHP, Symfony Framework  & DB experience","Tasks: * Build solutions to mitigate security threats; * Collaborate with team members and stakeholders; * Contribute to requirement and story creation; * Develop new and existing products; * Identify process improvements; * Improve system robustness and resilience; * Manage own tasks; * Mentor junior team members; * Review and interpret system designs; * Stay informed of emerging technologies; * Translate backlog items into solutions
Skills: [Agile methodologies][ASP.NET][C#][Communication skills][Data Management][Elastic Search][Git][JavaScript][JSON][MariaDB][Microsoft Azure][MVC][MySQL][.NET][PHP][Problem Solving][React][Redis][Software Architecture][SQL Server][Symfony Framework][TSQL][TypeScript][Unit Testing][WPF][XML]
Perks: + Employee assistance program; + Flexible working; + LinkedIn Learning; + Volunteer time off",N/A,N/A
Paymentology,Site Reliability Engineer,"Tasks: * Build scalable and reliable software; * Collaborate across engineering, operations, and product teams; * Design and maintain observability and monitoring solutions; * Design reliable cloud infrastructure; * Develop automation scripts and tools; * Diagnose and resolve production issues; * Enable self-service for product teams; * Ensure platform uptime and quality; * Review and optimise SRE practices; * Support security and quality standards compliance
Skills: [Ansible][ArgoCD][CD tools][CI/CD][CI/CD Tools][CircleCI][CloudFormation][Cloud Networking][CodePipelines][Databases][Datadog][Distributed Platform][Distributed platform architecture][Docker][ECS][EKS][ELK Stack][Fault Tolerance][GitHub Actions][GitLab CI][Grafana][Honeycomb.io][Infrastructure as Code][Jenkins][Kubernetes][Load Balancing][Monitoring Tools][New Relic][Platform Architecture][Programming Languages][Prometheus][Puppet][Resource allocation][Security best practices][Security best practices in cloud][Splunk][Systems programming][Systems programming languages][Terraform]
Perks: + Diverse global team; + Growth opportunities; + Purpose-driven work; + Supportive environment",38000,76000
Comeet,Senior Software Architect,"Tasks: * Collaborate with R&D leads and engineers; * Design and review architecture decisions; * Ensure engineering best practices; * Serve as technical consultant; * Solve complex multidisciplinary issues; * Translate business requirements into technical design
Skills: [Analytical Skills][AWS][Cloud Computing][Multidisciplinary problem solving][Problem Solving][SaaS Development][Software Architecture][Software Engineering][System scaling][Technical leadership]",N/A,N/A
Adp,Data & Reporting System(s) Coordinator,"Tasks: * Analyze data for trends and insights; * Create visualizations using Power BI; * Develop and maintain data reporting systems and dashboards; * Ensure data quality through audits and validation; * Manage national program data reports; * Perform advanced Excel data manipulation; * Present findings to diverse audiences; * Train staff on data systems
Skills: [Communication][Data Analysis][Data Management][Data Validation][Data Visualization][Excel][Power BI][Problem Solving][Reporting systems][Training and Support]
Perks: + Comprehensive health benefits; + Flexible spending accounts; + Paid time off; + Retirement plans; + Voluntary life insurance",62000,68000
Adp,Data & Reporting System(s) Coordinator,"Tasks: * Analyze data for trends and insights; * Create visualizations using Power BI; * Develop and maintain data reporting systems and dashboards; * Ensure data quality through audits and validation; * Manage the National Composite report and analyze 10-year program data; * Perform advanced Excel data manipulation; * Present findings to technical and non-technical audiences; * Train staff on data systems
Skills: [Client Management][Client management systems][Communication skills][Data Analysis][Data Management][Data Validation][Data Visualization][Excel][Management systems][Power BI][Problem Solving][Reporting systems]
Perks: + Flexible spending accounts; + Health care benefits; + Paid time off; + Retirement plan; + Voluntary life insurance",62000,68000
